gauge_id,pilot_split,gauge_name,state,drain_sqkm_attr,original_split,obs_years_usable,processing_status,selected_threshold_quantile,selected_threshold_value,q99_event_count,event_count,annual_peak_years,unit_area_peak_median,unit_area_peak_p90,q99_event_frequency,rbi,rising_time_median_hours,event_duration_median_hours,annual_peak_unit_area_median,annual_peak_unit_area_p90,error_detail
08136000,train,"Concho Rv at San Angelo, TX",TX,14295.38,train,28,ok,Q99,6.0102408,184,184,29,0.0008841955652805313,0.0032639221342839523,6.571428571428571,0.1332928029071919,2.0,13.5,0.0028524035037893365,0.012269296737827187,
08146000,train,"San Saba Rv at San Saba, TX",TX,7891.807,train,26,ok,Q99,30.723728,65,65,28,0.008713166620001529,0.029553003986229977,2.5,0.02974872687398864,8.0,28.0,0.009915188919837295,0.0583608737517276,
08148500,train,"N Llano Rv nr Junction, TX",TX,2336.848,train,21,ok,Q99,7.3099111279999756,46,46,25,0.01850951024628046,0.16192034740813266,2.1904761904761907,0.09121222042126763,3.5,38.5,0.01297584324007997,0.337897016836354,
08151500,train,"Llano Rv at Llano, TX",TX,10887.42,train,28,ok,Q99,91.79952600707921,73,73,30,0.01976013490799473,0.2005793490101419,2.607142857142857,0.06833879445710427,3.0,27.0,0.027981061935523105,0.22483249254644375,
08158380,train,"Little Walnut Ck at Georgian Dr, Austin, TX",TX,13.5378,train,17,ok,Q99,2.897695890860738,271,271,18,0.8467834156136448,2.691474419772784,15.941176470588236,0.5352094389995966,2.0,6.0,3.543225584946919,8.022479772964767,
08158600,train,"Walnut Ck at Webberville Rd, Austin, TX",TX,134.586,train,17,ok,Q99,17.856956356799987,188,188,18,0.3082349724339827,0.8490137696132449,11.058823529411764,0.21236842906087414,2.0,8.0,0.7683957717597134,1.8977140068560312,
08158970,train,"Williamson Ck at Jimmy Clay Rd, Austin, TX",TX,71.2494,train,17,ok,Q99,3.02380948800014,178,178,19,0.1413699164329019,0.7842991670564796,10.470588235294118,0.3074799979057888,2.0,8.0,0.7501531240964837,2.369622769247476,
08160800,train,"Redgate Ck nr Columbus, TX",TX,44.6445,train,28,ok,Q99,2.2731452783999924,182,182,30,0.29255841145045863,1.6329357839934389,6.5,0.2673531649501127,3.0,11.0,1.0925352059044227,2.3426872470293096,
08181400,train,"Helotes Ck at Helotes, TX",TX,38.7909,train,31,ok,Q99,2.0812848,62,62,34,0.20439597946941163,2.960639263332379,2.0,0.18289243465078808,3.0,44.0,0.17346283793363906,3.565432366869549,
08189700,train,"Aransas Rv nr Skidmore, TX",TX,631.2708,train,29,ok,Q99,13.3230544,89,89,30,0.05382818277037366,0.19914184784089495,3.0689655172413794,0.07354699558277444,10.0,23.0,0.06414525113469527,0.4178076261407941,
08206600,train,"Frio Rv at Tilden, TX",TX,11557.8,train,33,ok,Q99,74.048432,30,30,35,0.011711078578968317,0.03855713371056778,0.9090909090909091,0.017556870740722198,29.5,75.5,0.004648906193220163,0.023243305957881263,
08210000,train,"Nueces Rv nr Three Rivers, TX",TX,39967.6,train,33,ok,Q99,216.06284736000117,21,21,35,0.008643625336522584,0.01409902821285241,0.6363636363636364,0.011671120759644292,41.0,107.0,0.004001219187541909,0.011435091223891355,
08275500,train,"RIO GRANDE DEL RANCHO NEAR TALPA, NM",NM,207.8658,train,19,ok,Q99,5.2952416,21,21,34,0.03024225052894704,0.05452459808203177,1.105263157894737,0.0132661507966013,35.0,88.0,0.014542163261104038,0.049708996477535024,
08289000,train,"RIO OJO CALIENTE AT LA MADERA, NM",NM,1066.925,train,31,ok,Q99,19.326216,58,58,35,0.023886514984652156,0.0383172876069077,1.8709677419354838,0.03490957050784248,25.5,36.5,0.02466282672165335,0.042332212667244656,
08317950,train,"GALISTEO CREEK BELOW GALISTEO DAM, NM",NM,1536.176,train,21,ok,Q99,1.9752313048000016,178,178,35,0.005205104363041735,0.02278356438324776,8.476190476190476,0.2999270895937939,3.0,15.0,0.018221321515243045,0.04473763006322194,
08329928,train,"RIO GRANDE NR ALAMEDA, NM",NM,44583.7,train,18,ok,Q99,140.026576,22,22,25,0.0034297449516303043,0.003851000199624527,1.2222222222222223,0.019085308662876298,21.0,80.0,0.0026993363045238507,0.0036723676500604488,
08332010,train,"RIO GRANDE FLOODWAY NEAR BERNARDO, NM",NM,49128.08,train,22,ok,Q99,142.504296,23,23,30,0.0031701299949031185,0.003950558360921086,1.0454545454545454,0.01001888652190106,24.0,82.0,0.001977008342275945,0.003846232264725184,
08382600,train,"PECOS R ABV CANON DEL UTA NR COLONIAS, NM",NM,6336.304,train,29,ok,Q99,31.77647583200015,101,101,35,0.009909957603044299,0.026992624091268347,3.4827586206896552,0.06294775593562785,3.0,15.0,0.012725413427133545,0.044247346213186746,
08398500,train,"RIO PENASCO AT DAYTON, NM",NM,2736.869,train,23,ok,Q99,0.003964352,45,45,27,0.0007713257156261406,0.004782115972668038,1.9565217391304348,0.23596283874798282,3.0,46.0,2.45210187261429e-05,0.0071617928954582875,
