dataset_label,scope,attribute,count,mean,std,min,p10,p25,median,p75,p90,max
scaling_600,train,slope,538,8.48812919866171,9.226678358481356,0.00171426,1.1307703,2.1501245,4.4348985,11.7405775,23.269222,58.75731
scaling_600,train,snow_fraction,538,0.0883585927990962,0.12761298552425415,0.0,0.00333578098880471,0.014426281360823976,0.0489334399300227,0.09340602089488885,0.2165436022381297,0.807728220966582
scaling_600,train,soil_depth,538,50.7368149070632,9.02130555636757,17.96,38.133297,44.52006,53.35378,58.76393,59.976447,60.0
scaling_600,validation,area,62,3200.417453225806,6994.541439305477,3.7287,51.37758,190.983375,829.25325,1805.89275,9197.631,37665.93
scaling_600,validation,aridity,62,2.116195431855447,1.305384137157075,0.759607173583974,1.036525475003875,1.3332175646389501,1.58653884825455,2.4343918004109177,4.227710328554989,6.64400973995257
scaling_600,validation,baseflow_index,62,37.65253866129032,16.532484848237754,9.308174,17.863228,22.650395,36.854595,51.930749999999996,58.329556,74.11938
scaling_600,validation,forest_fraction,62,0.34085558670708055,0.2707393778373943,0.0,0.011929534923000003,0.113225243025,0.2974312188,0.560782975,0.7634408859999999,0.93219388
scaling_600,validation,permeability,62,2.6351650822580646,2.366540699545107,0.5145847,0.72149058,1.043056,1.7082085,3.356532,5.4574232,12.14017
scaling_600,validation,slope,62,6.933079732419355,7.309546181620092,0.05057831,0.71949185,1.654054,3.4831025,10.522092500000001,16.160148,36.67257
scaling_600,validation,snow_fraction,62,0.07183834310203363,0.1107386882472986,0.0,0.0023349823984619702,0.00793306988905925,0.0379485473925354,0.07748189153193488,0.13604286801597698,0.648379387469963
scaling_600,validation,soil_depth,62,49.73871193548388,10.235652434911316,19.53179,33.962638,43.44763,52.7338,58.769925,59.999908,60.0
